predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
19.853638 48.98872  57.711395 37.66441  66.46783  52.51809  61.91595 21.611744 51.609776 43.43303  52.09337  24.045767,383.04782,19.57160752,0.3309238,weighted24,12,-0.49583051,0
43.601257 59.0406   41.285732 40.88035  62.890377 56.167652 69.64901 36.552185 68.88921  48.104218 51.139565 21.724009,322.20337,17.95002421,0.22369246,weighted24,12,0.392493156,0
20.711767 26.490343 33.354927 54.194317 70.300446 32.33379  52.321808 59.580532 81.33183  50.45329   7.554017 72.60539 ,526.8172,22.95249877,0.36587572,weighted24,12,0.023210632,0
29.601496 49.571533 23.938587 39.02901  60.27309  73.72775  62.570473 62.02343  70.02589  49.04346  48.38918  82.842995,586.17737,24.2111001,0.2852952,weighted24,12,0.754945254,0
32.99049  37.307636 23.406399 63.738537 75.25236  59.517063 47.88274 45.50438  63.209614 39.331364 22.624834 75.72728 ,899.6667,29.99444427,0.34108707,weighted24,12,-0.231409743,0
40.14695  35.75731  28.044548 40.438824 44.037132 67.94764  50.643433 33.55268  60.659885 46.620525 33.20761  88.96756 ,474.8364,21.79074104,0.31786847,weighted24,12,0.267386606,0
34.925575 41.025494 36.871677 51.03367  51.149715 77.83597  49.964592 40.54696  62.399998 52.51752  53.07685  45.29589 ,202.24907,14.22142993,0.22507755,weighted24,12,-0.345490228,0
35.997974 34.795704 36.573185 39.488136 47.53566  60.994976 36.1976 46.74466  78.10309  54.769745 42.066303 70.62514 ,1740.8546,41.72354988,0.44940042,weighted24,12,0.584463008,0
37.8427   40.79242  30.965822 50.612633 49.015766 61.348965 30.355688 37.604042 69.6347   35.060223 11.598496 83.53883 ,1996.5311,44.68255955,0.41509724,weighted24,12,0.029242571,0
35.716812 13.000921 45.692707 34.08181  16.418055 73.3509   15.518713 29.57967  57.77815  62.53988  41.359127 71.9607  ,3560.6824,59.67145359,0.5643678,weighted24,12,-0.271377868,0
29.727291 38.85867  33.12495  35.308098 40.46092  46.145687 45.30113 44.66111  65.73947  40.8745    9.188699 68.80455 ,1166.3237,34.15148211,0.36902782,weighted24,12,0.057769202,0
39.47064  15.176636 50.434406 15.463164  7.861151 65.03434  29.940804 46.7528   53.33505  64.4297   51.35606  68.09557 ,5306.48,72.84558999,0.6276436,weighted24,12,0.370995042,0
37.495476 50.15393  39.279404 48.212036 51.46025  50.694885 50.80726 54.184376 50.673397 46.02736  22.894915 59.251827,6625.473,81.39700943,0.6181704,weighted24,12,0.099777899,0
41.69962   12.1285    61.696865   3.3040617  5.014427  75.96176 33.793472  41.407715  44.843884  70.867455  64.36808   46.84684  ,14927.228,122.1770336,0.74429387,weighted24,12,0.42112608,0
