predict_data,mse,rmse,mape,smooth,skip,result_corr,shap
52.399406 59.163506 79.358955 54.666748 21.966665 54.430107 50.066727 70.86798  83.45099  85.95662  84.810036 84.96514 ,802.1932,28.32301496,0.28699884,raw,1,-0.83905635,0
57.85975  57.623314 77.69574  55.387077 13.92016  58.38777  51.368656 78.68283  85.24028  83.187546 82.427666 83.53811 ,793.2541,28.16476681,0.28887883,raw,1,-0.655778232,0
63.75565  54.275215 79.53007  65.81065  13.624534 60.76574  44.829887 81.58894  81.56362  75.78646  86.2044   78.7952  ,674.2979,25.96724692,0.26396325,raw,1,-0.356718087,0
64.595604 49.434803 82.33393  78.0694   20.01461  69.58962  49.130123 78.620834 74.92943  71.362465 80.29381  73.41782 ,500.36136,22.36875854,0.19818634,raw,1,-0.126665458,0
67.29526  44.538376 72.80141  75.1652   16.093887 66.34505  52.230614 76.247    73.596924 72.40184  79.24034  74.06982 ,503.2703,22.43368659,0.19874907,raw,1,0.074119281,0
69.90132  51.163704 74.061226 68.88546  15.25445  59.99436  45.05418 73.60517  77.93335  74.53037  84.02019  75.5105  ,435.7855,20.87547585,0.19504392,raw,1,0.422493591,0
68.30179  57.34294  79.312485 69.51958  19.95037  64.638985 41.380486 72.90301  80.069305 75.3164   86.55932  76.940895,341.72623,18.48583855,0.16927147,raw,1,0.611636768,0
67.27128  57.439297 81.367096 68.71962  25.88569  71.76605  42.079357 73.87945  81.47431  74.474144 87.08631  74.2657  ,330.25085,18.17280536,0.18621154,raw,1,0.570303371,0
67.32377  56.241676 84.79048  66.23851  24.445791 73.12767  43.406834 74.91733  84.448555 74.90664  91.55135  66.815094,449.53427,21.20222326,0.20056026,raw,1,0.450186594,0
72.178535 58.02999  83.03209  65.57965  23.109676 75.32605  47.373173 69.4477   87.8302   73.58135  90.29562  62.261726,593.6082,24.36407633,0.22182633,raw,1,0.290053458,0
75.55434  62.305042 79.59931  68.68856  24.908285 75.00809  51.939182 62.743793 88.686874 74.39872  87.94096  57.772926,753.9069,27.45736552,0.24155891,raw,1,0.084926462,0
75.84557  62.339478 78.849976 69.46467  25.05408  72.24732  53.78817 61.894245 89.41471  74.80816  87.555244 55.988853,898.82495,29.98040946,0.2596392,raw,1,0.043535197,0
74.65799  60.743668 76.85314  66.723434 23.641249 75.57428  53.34075 67.04191  86.48473  73.08304  86.12437  59.712566,1014.2776,31.847725,0.2802343,raw,1,0.104247152,0
72.21166  60.454823 76.72116  58.031025 20.904234 75.30425  49.18036 71.48309  81.58044  66.879776 87.35064  60.695232,1300.7417,36.06579681,0.3142713,raw,1,0.133618148,0
70.302605 64.58075  78.162056 52.7621   21.643955 72.25687  47.921543 72.9239   77.583145 63.12059  88.79958  58.94596 ,1562.0576,39.52287461,0.35007882,raw,1,0.129584174,0
