id,predict_data,mse,rmse,smooth,skip,result_corr
61,57.878014 48.761463 47.5446   63.92598  49.903595 49.284664 61.6288 54.520515 53.95988  55.709488 46.358925 61.555313,853.8369,29.22048792,raw,1,0.12338265032594178
62,58.02707  49.22981  47.736343 63.658436 50.078983 49.028885 60.900566 54.612812 53.67219  55.86792  46.31133  61.380398,1013.115,31.82946733,raw,1,0.08658235993558704
63,58.660835 49.24935  47.94172  63.258118 50.725033 49.51594  60.972393 53.28009  54.083683 56.52453  46.65079  60.42627 ,1182.7677,34.39138991,raw,1,0.0919567196828549
64,58.908546 49.907856 48.706554 63.110634 51.194977 50.214848 60.979095 52.267647 54.071663 57.311546 47.788876 60.08163 ,1362.4987,36.91203946,raw,1,0.0977570007449796
65,59.4985   50.888344 49.490482 63.09366  51.574917 50.390762 60.609776 51.69266  54.068615 57.197433 48.70211  60.62027 ,1579.6671,39.74502628,raw,1,-0.0005291674293019522
66,59.79238  51.07831  49.85338  63.260746 51.898067 50.40695  59.744835 51.994385 53.299557 56.9165   49.6117   60.358486,1827.797,42.75274257,raw,1,-0.06053849836190525
67,60.24463  50.752052 50.441353 63.039753 51.88078  50.694706 59.37941 52.517864 53.57769  55.818073 50.23509  60.27012 ,2071.4624,45.51332115,raw,1,-0.03604305825218743
68,60.439034 50.355087 49.890755 62.674023 51.660225 51.440636 59.488853 52.59426  53.850365 55.112415 50.823063 59.97575 ,2311.639,48.0795062,raw,1,-0.001052805024083947
69,60.194447 50.206543 49.83249  61.938107 51.80293  52.181435 60.493164 51.760338 54.332104 55.43148  51.823235 59.513363,2528.4148,50.2833451,raw,1,0.02400205951445067
70,59.497986 50.21737  49.779724 61.578583 51.582523 52.26379  60.761494 51.554646 54.013187 55.105923 52.392853 59.721012,2713.384,52.09015294,raw,1,0.0014097947975137276
71,59.60804  50.461464 49.86398  60.796978 51.76394  52.01173  60.424774 51.314865 53.909016 55.385406 53.060066 59.812897,2820.1277,53.1048744,raw,1,-0.06251907771796737
72,59.45806  49.84475  49.37024  60.499313 51.905796 52.17267  61.132065 51.2076   54.68398  55.45944  52.75731  59.332493,2798.585,52.90165367,raw,1,-0.2066320979678688
73,59.278328 53.787445 52.530037 61.20012  52.65251  52.031185 59.734188 52.342842 55.70395  55.66077  51.741386 61.736416,2617.1177,51.15777239,raw,1,-0.2811222160899599
74,56.365913 55.102234 53.090584 59.51116  53.463837 50.481503 58.91358 53.22708  56.08964  57.284294 49.484756 60.73099 ,2506.4636,50.06459451,raw,1,-0.15255740968652487
75,55.790344 54.65842  53.943    59.532894 53.118374 48.700424 57.574047 55.674904 52.742138 56.051872 48.786533 61.19853 ,2386.9155,48.8560695,raw,1,-0.07044061766406218
76,56.984226 48.49771  48.925716 58.37677  52.051956 51.220554 59.458866 53.170464 53.35397  54.02625  49.20451  57.633015,2310.6404,48.06912087,raw,1,-0.028997368493711262
77,55.45845  46.198433 48.617065 59.92524  49.144962 52.962574 61.079838 54.582108 54.304108 54.173016 48.303894 58.319515,2140.993,46.2708647,raw,1,-0.22075806000228387
78,55.3701   48.6656   51.650623 60.28482  49.84357  52.225834 61.721592 51.35636  58.182373 57.23807  47.830868 60.29087 ,1844.0934,42.94290842,raw,1,-0.24624044462938208
79,51.5718   50.48719  52.000748 60.967484 50.439445 48.49269  61.121487 54.243767 57.71433  59.572968 44.771564 61.540947,1627.3888,40.3409072,raw,1,-0.2169896058295392
80,54.12303  47.766144 53.144257 62.59122  51.684612 47.307514 61.172543 56.322533 55.45393  55.532314 44.325157 61.142864,1402.4227,37.44893496,raw,1,-0.13843318716585254
81,57.529865 46.256233 52.427486 61.490852 49.384995 52.20619  59.339554 58.37649  55.67334  50.51247  44.48941  60.732563,1210.0309,34.78549818,raw,1,-0.10271025277603088
82,56.48996  43.266968 50.97386  61.00066  49.09747  54.11348  64.69843 55.76713  60.69651  55.5088   44.294144 58.122936,1099.8546,33.16405606,raw,1,-0.238583824367892
83,55.07496  44.743015 48.72043  62.877327 48.59208  50.322456 66.25063 55.76284  57.59851  56.680626 45.361557 61.438396,1052.618,32.44407561,raw,1,-0.0010578104546437872
84,56.381435 47.625835 47.09969  62.507755 50.635117 48.499016 66.11691 51.97543  56.032864 58.36171  46.66645  61.93223 ,1133.0397,33.66065467,raw,1,0.16932807035185085
85,55.688736 51.704395 51.357754 61.997044 50.125683 48.877674 60.383244 58.212017 51.07762  56.604317 43.432655 61.699104,1323.5887,36.38115921,raw,1,0.011029903441389322
86,59.188904 47.083748 51.59993  62.207153 51.855022 49.49103  58.954292 57.946297 54.947865 54.388897 44.198994 61.88777 ,1517.6978,38.95764051,raw,1,0.05454731253359549
87,62.53661  46.899685 49.643314 62.771168 52.274296 48.475384 59.800743 53.879436 56.233803 55.78534  45.852398 60.286694,1772.8353,42.10505109,raw,1,0.01419885261227874
88,59.483776 47.24721  49.510525 59.874065 51.772243 49.104805 63.368217 51.67765  56.521057 59.662834 47.843422 57.83039 ,2045.1757,45.22361838,raw,1,0.16830086440437017
89,58.019745 52.936073 53.86615  58.761955 48.722027 48.052578 61.107227 54.930435 53.43574  57.70518  44.86554  60.84993 ,2416.0999,49.15383864,raw,1,-0.07267361679376139
90,57.855473 51.316383 53.86067  63.13549  50.96937  47.231632 58.46779 59.460693 49.1861   54.586548 46.611137 60.225914,2805.0498,52.9627209,raw,1,-0.10713070709656042
91,60.70941  51.918064 49.2205   58.43578  52.1596   50.020756 56.868065 56.517292 49.70525  54.840694 49.713127 59.529816,3223.6777,56.77744036,raw,1,-0.11073512634591426
92,63.7279   49.7587   48.046448 59.639126 50.537426 50.69851  59.0474 49.455402 55.435093 57.21182  51.32626  59.970196,3553.115,59.60801112,raw,1,-0.006152940276952595
