id,timestamp,raw,rolling3,rolling6,rolling9,rolling13,weighted3,weighted6,weighted9,weighted13
771,188204,159.6,129,105.3833333,102.8333333,101.0076923,132.3289631,116.7734205,109.1114838,101.7356781
772,188205,106.9,126,107.95,103.9,102.6076923,119.6144816,113.9524432,108.669187,102.4734384
773,188206,75.4,113.9666667,107.3833333,102.4333333,102.8307692,97.50724078,102.9374594,102.0153496,98.60580431
774,188207,75.7,86,107.5,98.92222222,100.9,86.60362039,95.15532816,96.75227971,95.33354655
775,188208,67.5,72.86666667,99.43333333,96.25555556,96.23076923,77.05181019,87.25380583,90.90182377,91.35732561
776,188209,96.1,79.76666667,96.86666667,98.17777778,96.13846154,86.5759051,89.78128988,91.94145901,92.03485053
777,188210,98.6,87.4,86.7,100.8,96.90769231,92.58795255,92.30092134,93.27316721,92.97272902
778,188211,140.6,111.7666667,92.31666667,103.5444444,99.46923077,116.5939763,106.1006581,102.7385338,99.77662488
779,188212,69.7,102.9666667,91.36666667,98.9,97.79230769,93.14698814,95.70047007,96.13082701,95.47996418
780,188301,101,103.7666667,95.58333333,92.38888889,99.5,97.07349407,97.21462148,97.10466161,96.26854073
781,188302,78.2,82.96666667,97.36666667,89.2,99.74615385,87.63674703,91.78187249,93.32372929,93.68732062
782,188303,71.3,83.5,93.23333333,88.74444444,96.31538462,79.46837352,85.92990892,88.91898343,90.48913196
783,188304,136.8,95.43333333,99.6,95.53333333,98.26153846,108.1341868,100.4642207,98.49518675,97.10497025
784,188305,52.5,86.86666667,84.91666667,93.86666667,90.02307692,80.31709338,86.76015761,89.2961494,90.73283165
785,188306,127.2,105.5,94.5,97.32222222,91.58461538,103.7585467,98.31439829,96.87691952,95.94242712
786,188307,134.4,104.7,100.0666667,101.3,96.12307692,119.0792733,108.6245702,104.3815356,101.4363661
787,188308,76.6,112.7333333,99.8,94.18888889,96.19230769,97.83963667,99.47469301,98.82522849,97.88831381
788,188309,87.8,99.6,102.55,96.2,97.75384615,92.81981834,96.13906643,96.62018279,96.44712612
789,188310,139.6,101.3333333,103.0166667,100.4888889,101.1,116.2099092,108.556476,105.2161462,102.6118224
790,188311,140.8,122.7333333,117.7333333,107.4444444,104.3461538,128.5049546,117.7689114,112.332917,108.0672763
791,188312,126.5,135.6333333,117.6166667,113.5777778,103.2615385,127.5024773,120.2635082,115.1663336,110.7005226
792,188401,152.6,139.9666667,120.65,115.3333333,109.6384615,140.0512386,129.5025058,122.6530669,116.6861622
793,188402,144.8,141.3,132.0166667,125.5888889,113.0076923,142.4256193,133.8732185,127.0824535,120.7024247
794,188403,145.8,147.7333333,141.6833333,127.6555556,118.2076923,144.1128097,137.2808703,130.8259628,124.2877926
795,188404,126.9,139.1666667,139.5666667,126.8222222,122.4846154,135.5064048,134.3149074,130.0407702,124.6609651
796,188405,110.9,127.8666667,134.5833333,130.6333333,120.4923077,123.2032024,127.6249338,126.2126162,122.695113
797,188406,85.3,107.7,127.7166667,130.3555556,123.0153846,104.2516012,115.5320956,118.030093,117.352954
798,188407,88.5,94.9,117.0333333,124.6777778,120.0384615,96.3758006,107.8086397,112.1240744,113.2311034
799,188408,93.1,88.96666667,108.4166667,119.3777778,116.8615385,94.7379003,103.6061712,108.3192595,110.3552315
800,188409,103.1,94.9,101.3,116.7777778,118.9,98.91895015,103.4615509,107.2754076,109.3187698
801,188410,79.6,91.93333333,93.41666667,108.6666667,118.2692308,89.25947508,96.64396491,101.7403261,105.0732313
802,188411,60.9,81.2,85.08333333,99.34444444,112.2153846,75.07973754,86.43140351,93.57226086,98.76276968
803,188412,78.6,73.03333333,83.96666667,91.87777778,107.4307692,76.83986877,84.19385965,90.57780869,95.88237401
804,188501,71.4,70.3,81.11666667,85.71111111,103.1923077,74.11993438,80.53847118,86.74224695,92.38489201
805,188502,119.7,89.9,85.55,86.68888889,100.6615385,96.90996719,91.72747941,93.33379756,96.28705029
806,188503,82.9,91.33333333,82.18333333,86.42222222,95.9,89.9049836,89.20534244,91.24703805,94.37461454
807,188504,91.7,98.1,84.2,86.77777778,91.73846154,90.8024918,89.91810174,91.33763044,93.99252675
808,188505,121.6,98.73333333,94.31666667,89.94444444,91.33076923,106.2012459,98.97007267,97.39010435,97.9364515
809,188506,139.5,117.6,104.4666667,93.98888889,93.53076923,122.8506229,110.5500519,105.8120835,103.8741013
810,188507,110.9,124,111.05,97.46666667,95.5,116.8753115,110.6500371,106.8296668,104.8778011
811,188508,83.5,111.3,105.0166667,99.97777778,95.11538462,100.1876557,102.8928836,102.1637334,101.8238295
812,188509,66,86.8,102.2,98.57777778,93.03076923,83.09382787,92.35205973,94.93098674,96.70613958
813,188510,64.5,71.33333333,97.66666667,97.81111111,90.06153846,73.79691393,84.39432838,88.84478939,92.1052625
814,188511,51.6,60.7,86,90.24444444,87.90769231,62.69845697,75.02452027,81.39583151,86.31879643
815,188512,36.3,50.8,68.8,85.06666667,86.01538462,49.49922848,63.96037162,72.37666521,79.17325408
816,188601,49.8,45.9,58.61666667,80.41111111,83.8,49.64961424,59.91455116,67.86133217,74.97707493
817,188602,43.2,43.1,51.9,71.7,81.63076923,46.42480712,55.13896511,62.92906574,70.43749279
818,188603,95.5,62.83333333,56.81666667,66.81111111,79.76923077,70.96240356,66.67068937,69.44325259,74.01785097
819,188604,72.9,70.53333333,58.21666667,62.58888889,79,71.93120178,68.4504924,70.13460207,73.85815797
820,188605,51.2,73.2,58.15,59,75.88461538,61.56560089,63.52178029,66.34768166,70.62127826
821,188606,45.3,56.46666667,59.65,56.7,70.01538462,53.43280045,58.31555735,62.13814533,67.0039528
822,188607,50.4,48.96666667,59.75,55.13333333,63.16153846,51.91640022,56.05396954,59.79051626,64.63195954
823,188608,28.1,41.26666667,57.23333333,52.52222222,56.79230769,40.00820011,48.0671211,53.45241301,59.41310818
824,188609,35.7,38.06666667,47.26666667,52.45555556,53.11538462,37.85410006,44.53365793,49.90193041,56.02552129
825,188610,14.4,26.06666667,37.51666667,48.52222222,49.14615385,26.12705003,35.92404138,42.80154433,50.07901825
826,188611,0.6,16.9,29.08333333,43.78888889,44.23076923,13.36352501,25.83145813,34.36123546,43.01058707
827,188612,21.7,12.23333333,25.15,35.58888889,41.93076923,17.53176251,24.65104152,31.82898837,39.96621749
828,188701,17,13.1,19.58333333,29.37777778,40.44615385,17.26588125,22.46502966,28.86319069,36.68532928
829,188702,22,20.23333333,18.56666667,26.13333333,38.30769231,19.63294063,22.33216404,27.49055256,34.5874251
830,188703,7.1,15.36666667,13.8,21.88888889,35.53076923,13.36647031,17.98011717,23.41244204,30.66065008
831,188704,11.6,13.56666667,13.33333333,17.57777778,29.07692308,12.48323516,16.15722655,21.04995364,27.93770007
832,188705,33.4,17.36666667,18.8,18.16666667,26.03846154,22.94161758,21.08373325,23.51996291,28.71802863
833,188706,26.1,23.7,19.53333333,17.1,24.10769231,24.52080879,22.51695232,24.03597033,28.34402454
834,188707,38.9,32.8,23.18333333,19.82222222,23.61538462,31.71040439,27.19782309,27.00877626,29.85202104
835,188708,35.7,33.56666667,25.46666667,23.72222222,22.48461538,33.7052022,29.62701649,28.74702101,30.6874466
836,188709,12.4,29,26.35,22.68888889,21.27692308,23.0526011,24.70501178,25.47761681,28.07495423
